,target,source,value
2394,donor_Ailsa Mellon Bruce Fund,artist_Honoré Daumier,280
14916,donor_Lessing Julius Rosenwald,artist_James McBey,287
16606,donor_Lessing Julius Rosenwald,"artist_Jean-Claude-Richard, Abbé de Saint-Non",292
14785,donor_Lessing Julius Rosenwald,artist_Muirhead Bone,308
14584,donor_Lessing Julius Rosenwald,artist_Albrecht Dürer,314
14672,donor_Lessing Julius Rosenwald,artist_Rembrandt van Rijn,316
23105,donor_Kathan Brown,artist_Dena Schuckit,352
7796,donor_Patrons' Permanent Fund,artist_Gemini G.E.L.,375
14589,donor_Lessing Julius Rosenwald,artist_Jean-Louis Forain,449
15002,donor_Lessing Julius Rosenwald,artist_German 15th Century,450
7938,donor_Patrons' Permanent Fund,artist_Lee Friedlander,460
14801,donor_Lessing Julius Rosenwald,artist_David Young Cameron,465
16966,donor_Lessing Julius Rosenwald,artist_Unknown 19th Century,493
8211,donor_Patrons' Permanent Fund,artist_Universal Limited Art Editions,495
14724,donor_Lessing Julius Rosenwald,artist_James McNeill Whistler,502
20789,donor_Mrs. Jacob Kainen,artist_Jacob Kainen,542
21291,donor_Glenstone,artist_Jasper Johns,544
14799,donor_Lessing Julius Rosenwald,artist_Jacques Callot,575
10174,donor_United States Government,artist_American 20th Century,694
19278,donor_Corcoran Gallery of Art,artist_Eadweard Muybridge,695
14573,donor_Lessing Julius Rosenwald,artist_Honoré Daumier,729
18854,donor_Corcoran Gallery of Art,artist_Charles B. J. Févret de Saint-Mémin,903
16588,donor_Lessing Julius Rosenwald,artist_Thomas Rowlandson,1219
18610,donor_Corcoran Gallery of Art,artist_Honoré Daumier,1233
23062,donor_Kathan Brown,artist_Crown Point Press,1490
5235,donor_Gemini G.E.L.,artist_Gemini G.E.L.,1550
7845,donor_Patrons' Permanent Fund,artist_Jasper Johns,1675
1415,donor_Mr. and Mrs. Benjamin B. Smith,artist_Tamarind Institute,1980
2629,donor_Ailsa Mellon Bruce Fund,artist_Paul Gavarni,3130
17945,donor_Robert Frank,artist_Robert Frank,4799
